"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2015","Cubs","8.5","6.2","7.1","-8.7","14.7","-1.7","2.0","33.6","48.6","5.2"
"2017","Cubs","-0.1","2.6","7.9","-7.1","2.5","0.8","1.8","29.6","34.8","3.5"
"2012","Padres","21.9","0.2","-10.4","-11.2","22.1","-21.6","1.1","45.5","47.1","4.9"
"2010","Marlins","-1.0","6.3","-7.3","-7.9","5.3","-15.2","0.5","23.8","14.3","1.5"
"2019","Twins","2.3","0.2","-9.2","-6.5","2.6","-15.7","2.6","20.7","10.1","1.0"
"2010","Blue Jays","1.2","-2.9","-2.7","-8.6","-1.7","-11.3","4.6","24.3","16.0","1.7"
"2018","Mets","12.0","2.7","-9.2","-7.1","14.7","-16.3","1.6","29.7","29.7","3.1"
"2011","Tigers","3.2","6.6","-15.3","-10.6","9.8","-25.9","5.2","37.9","27.0","2.9"
"2016","Indians","1.0","20.9","6.2","-7.2","21.8","-1.0","7.0","49.5","77.3","7.9"
"2011","Phillies","4.5","-2.3","-17.8","-7.9","2.2","-25.7","1.1","25.3","2.9","0.3"
"2016","Mets","12.7","-0.2","1.0","-7.1","12.4","-6.1","1.2","39.5","47.0","4.8"
"2017","White Sox","6.8","-2.5","-4.4","-9.3","4.3","-13.7","3.5","33.5","27.7","2.8"
"2012","Cubs","2.4","-2.5","2.6","-7.5","-0.1","-4.9","0.8","30.7","26.5","2.8"
"2019","Reds","-3.2","-4.7","-5.9","-7.5","-7.9","-13.3","1.0","31.9","11.6","1.1"
"2012","Yankees","3.7","3.0","-2.3","-14.4","6.7","-16.7","4.5","31.2","25.6","2.7"
"2017","Reds","-3.3","0.5","1.3","-7.0","-2.8","-5.7","1.4","22.0","14.8","1.5"
"2016","Twins","2.0","5.7","-17.3","-9.2","7.7","-26.5","4.0","28.1","13.3","1.4"
"2010","Angels","7.8","-1.6","-6.7","-15.9","6.3","-22.6","7.6","39.8","31.1","3.2"
"2011","Rockies","-12.6","5.0","-4.7","-7.9","-7.6","-12.6","1.4","32.2","13.4","1.4"
"2013","Royals","2.8","7.1","15.2","-7.0","9.9","8.2","2.7","20.0","40.8","4.4"
"2017","Blue Jays","2.2","4.4","-17.7","-9.2","6.6","-26.9","3.1","29.5","12.3","1.2"
"2014","Braves","6.5","5.1","-6.3","-8.3","11.6","-14.6","1.8","25.5","24.3","2.7"
"2016","Padres","2.7","3.5","0.8","-6.5","6.2","-5.7","0.6","19.9","21.0","2.1"
"2015","Mariners","10.0","-3.5","1.3","-12.2","6.5","-10.9","3.4","28.3","27.2","2.9"
"2015","Yankees","5.3","5.2","-5.3","-8.3","10.5","-13.6","3.6","30.5","31.1","3.3"
"2011","Pirates","5.2","0.3","-9.1","-7.2","5.6","-16.3","1.0","21.7","11.9","1.3"
"2014","Marlins","7.0","3.9","2.5","-7.4","10.9","-4.9","1.7","24.3","32.1","3.5"
"2018","Cardinals","5.4","6.5","8.1","-7.9","12.0","0.1","1.3","23.5","36.9","3.8"
"2010","Tigers","-3.2","6.0","10.8","-12.1","2.8","-1.3","6.7","35.5","43.6","4.5"
"2016","Tigers","1.5","1.5","-8.0","-8.3","3.1","-16.3","3.8","26.6","17.2","1.8"
"2017","Red Sox","-5.0","1.9","-4.0","-10.1","-3.1","-14.1","3.2","30.0","16.0","1.6"
"2011","Reds","0.4","3.3","3.5","-8.8","3.6","-5.3","1.3","29.6","29.3","3.1"
"2016","Mariners","7.5","-2.4","-7.7","-10.4","5.1","-18.1","4.5","31.7","23.3","2.4"
"2011","Marlins","0.2","1.6","-5.0","-5.6","1.8","-10.6","1.1","26.2","18.5","2.0"
